"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2020","679.69","679.46","679.69","660.76","","0.03%"
"02/25/2020","679.46","691.35","703.21","676.36","","-1.72%"
"02/24/2020","691.35","718.52","718.52","685.22","","-3.78%"
"02/21/2020","718.52","722.28","724.13","714.68","","-0.52%"
"02/20/2020","722.28","726.05","727.52","720.84","","-0.52%"
"02/19/2020","726.05","719.45","726.59","719.45","","0.92%"
"02/18/2020","719.45","724.99","724.99","716.99","","-0.76%"
"02/17/2020","724.99","723.39","727.81","722.31","","0.22%"
"02/14/2020","723.39","720.62","725.44","720.11","","0.38%"
"02/13/2020","720.62","726.92","727.35","712.98","","-0.87%"
"02/12/2020","726.92","719.37","726.92","718.09","","1.05%"
"02/11/2020","719.37","713.99","723.29","713.99","","0.75%"
"02/10/2020","713.99","713.40","715.43","709.01","","0.08%"
"02/07/2020","713.40","712.66","717.03","708.08","","0.10%"
"02/06/2020","712.66","706.71","717.95","706.54","","0.84%"
"02/05/2020","706.71","697.21","707.23","694.15","","1.36%"
"02/04/2020","697.21","687.87","699.93","687.69","","1.36%"
"02/03/2020","687.87","684.16","691.33","682.58","","0.54%"
"01/31/2020","684.16","692.46","696.66","682.84","","-1.20%"
"01/30/2020","692.46","697.08","697.12","687.60","","-0.66%"
"01/29/2020","697.08","692.05","699.23","692.05","","0.73%"
"01/28/2020","692.05","679.94","694.23","679.40","","1.78%"
"01/27/2020","679.94","702.04","702.04","678.90","","-3.15%"
"01/24/2020","702.04","692.96","709.43","692.79","","1.31%"
"01/23/2020","692.96","700.35","702.43","692.04","","-1.06%"
"01/22/2020","700.35","695.11","700.93","694.73","","0.75%"
"01/21/2020","695.11","694.99","697.20","684.72","","0.02%"
"01/20/2020","694.99","695.02","695.92","692.15","","0.00%"
"01/17/2020","695.02","689.28","695.79","687.22","","0.83%"
"01/16/2020","689.28","689.70","693.60","686.20","","-0.06%"
"01/15/2020","689.70","703.48","705.07","689.70","","-1.96%"
"01/14/2020","703.48","706.42","709.98","702.48","","-0.42%"
"01/13/2020","706.42","710.46","713.98","704.37","","-0.57%"
"01/10/2020","710.46","713.61","717.43","707.69","","-0.44%"
"01/09/2020","713.61","708.44","716.54","708.44","","0.73%"
"01/08/2020","708.44","706.53","708.44","699.34","","0.27%"
"01/07/2020","706.53","702.06","709.39","702.03","","0.64%"
"01/06/2020","702.06","710.32","710.33","693.71","","-1.16%"
"01/03/2020","710.32","717.16","717.16","703.56","","-0.95%"
"01/02/2020","717.16","708.20","720.08","708.20","","1.27%"
"12/31/2019","708.20","710.46","711.20","707.61","","-0.32%"
"12/30/2019","710.46","712.26","715.20","709.58","","-0.25%"
"12/27/2019","712.26","711.61","715.92","710.41","","0.09%"
"12/24/2019","711.61","708.10","711.83","708.10","","0.50%"
"12/23/2019","708.10","706.43","709.94","701.63","","0.24%"
"12/20/2019","706.43","707.17","710.11","703.97","","-0.10%"
"12/19/2019","707.17","710.58","710.84","706.67","","-0.48%"
"12/18/2019","710.58","714.40","715.49","708.14","","-0.53%"
"12/17/2019","714.40","717.71","718.34","707.29","","-0.46%"
"12/16/2019","717.71","694.09","721.01","694.09","","3.40%"
"12/13/2019","694.09","675.12","712.25","675.12","","2.81%"
"12/12/2019","675.12","658.68","677.55","658.68","","2.50%"
"12/11/2019","658.68","662.61","665.76","655.37","","-0.59%"
"12/10/2019","662.61","663.31","665.95","656.55","","-0.11%"
"12/09/2019","663.31","662.05","664.01","657.85","","0.19%"
"12/06/2019","662.05","652.70","662.97","652.58","","1.43%"
"12/05/2019","652.70","655.04","655.94","649.08","","-0.36%"
"12/04/2019","655.04","648.07","655.07","645.70","","1.08%"
"12/03/2019","648.07","663.47","665.56","644.86","","-2.32%"
"12/02/2019","663.47","673.91","675.53","662.54","","-1.55%"
"11/29/2019","673.91","681.84","682.00","673.91","","-1.16%"
"11/28/2019","681.84","677.17","681.84","671.74","","0.69%"
"11/27/2019","677.17","665.15","677.17","665.15","","1.81%"
"11/26/2019","665.15","661.06","666.12","659.75","","0.62%"
"11/25/2019","661.06","652.78","662.23","652.78","","1.27%"
"11/22/2019","652.78","643.36","653.18","641.74","","1.46%"
"11/21/2019","643.36","647.00","647.00","639.70","","-0.56%"
"11/20/2019","647.00","658.72","658.72","641.52","","-1.78%"
"11/19/2019","658.72","654.76","669.16","654.76","","0.60%"
"11/18/2019","654.76","659.54","663.78","651.80","","-0.72%"
"11/15/2019","659.54","655.29","662.40","650.49","","0.65%"
"11/14/2019","655.29","656.37","658.98","652.73","","-0.16%"
"11/13/2019","656.37","667.28","667.28","650.04","","-1.64%"
"11/12/2019","667.28","662.96","669.58","662.22","","0.65%"
"11/11/2019","662.96","668.52","668.52","653.47","","-0.83%"
"11/08/2019","668.52","676.39","676.39","668.33","","-1.16%"
"11/07/2019","676.39","672.33","680.78","671.00","","0.60%"
"11/06/2019","672.33","676.75","678.32","670.14","","-0.65%"
"11/05/2019","676.75","670.05","677.25","669.98","","1.00%"
"11/04/2019","670.05","663.15","674.72","663.15","","1.04%"
"11/01/2019","663.15","659.38","663.73","658.31","","0.57%"
"10/31/2019","659.38","663.25","666.22","654.65","","-0.58%"
"10/30/2019","663.25","669.06","671.14","657.37","","-0.87%"
"10/29/2019","669.06","673.15","674.59","667.14","","-0.61%"
"10/28/2019","673.15","671.42","675.37","669.41","","0.26%"
"10/25/2019","671.42","680.68","681.67","666.38","","-1.36%"
"10/24/2019","680.68","680.05","688.50","679.27","","0.09%"
"10/23/2019","680.05","675.80","682.88","668.86","","0.63%"
"10/22/2019","675.80","673.12","677.60","668.43","","0.40%"
"10/21/2019","673.12","659.89","682.88","654.11","","2.00%"
"10/18/2019","659.89","657.13","665.55","649.95","","0.42%"
"10/17/2019","657.13","646.58","666.67","645.35","","1.63%"
"10/16/2019","646.58","652.84","653.19","638.44","","-0.96%"
"10/15/2019","652.84","641.45","656.51","639.13","","1.78%"
