"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2020","11,766.19","11,425.93","11,824.42","11,384.33","","2.98%"
"12/01/2020","11,425.93","11,211.10","11,445.59","11,211.10","","1.92%"
"11/30/2020","11,211.10","11,170.09","11,316.45","11,132.79","","0.37%"
"11/27/2020","11,170.09","11,140.51","11,170.09","10,995.01","","0.27%"
"11/26/2020","11,140.51","11,212.19","11,264.58","11,076.89","","-0.64%"
"11/25/2020","11,212.19","11,266.77","11,328.51","11,189.94","","-0.48%"
"11/24/2020","11,266.77","11,267.99","11,370.69","11,170.63","","-0.01%"
"11/23/2020","11,267.99","11,386.89","11,456.24","11,267.99","","-1.04%"
"11/20/2020","11,386.89","11,356.64","11,422.24","11,290.55","","0.27%"
"11/19/2020","11,356.64","11,453.15","11,457.58","11,322.68","","-0.84%"
"11/18/2020","11,453.15","11,350.80","11,478.25","11,277.18","","0.90%"
"11/17/2020","11,350.80","11,427.73","11,521.50","11,284.67","","-0.67%"
"11/16/2020","11,427.73","11,346.61","11,517.04","11,321.71","","0.71%"
"11/13/2020","11,346.61","11,378.28","11,406.72","11,318.06","","-0.28%"
"11/12/2020","11,378.28","11,337.86","11,439.76","11,291.26","","0.36%"
"11/11/2020","11,337.86","11,143.77","11,352.71","11,053.11","","1.74%"
"11/10/2020","11,143.77","11,171.30","11,229.24","11,067.90","","-0.25%"
"11/09/2020","11,171.30","10,877.34","11,312.18","10,877.34","","2.70%"
"11/06/2020","10,877.34","10,857.88","10,974.76","10,759.09","","0.18%"
"11/05/2020","10,857.88","10,751.93","10,923.26","10,722.11","","0.99%"
"11/04/2020","10,751.93","10,473.02","10,753.14","10,326.41","","2.66%"
"11/03/2020","10,473.02","10,215.41","10,473.02","10,215.41","","2.52%"
"11/02/2020","10,215.41","10,278.98","10,302.44","10,202.07","","-0.62%"
"10/30/2020","10,278.98","10,283.36","10,312.48","10,169.13","","-0.04%"
"10/29/2020","10,283.36","10,300.17","10,350.53","10,239.67","","-0.16%"
"10/28/2020","10,300.17","10,565.87","10,565.87","10,198.95","","-2.51%"
"10/27/2020","10,565.87","10,697.76","10,702.42","10,535.06","","-1.23%"
"10/26/2020","10,697.76","10,848.05","10,856.51","10,678.08","","-1.39%"
"10/23/2020","10,848.05","10,803.28","10,880.16","10,765.20","","0.41%"
"10/22/2020","10,803.28","10,723.35","10,831.69","10,629.54","","0.75%"
"10/21/2020","10,723.35","10,925.46","10,951.99","10,718.81","","-1.85%"
"10/20/2020","10,925.46","11,000.75","11,002.80","10,925.46","","-0.68%"
"10/19/2020","11,000.75","10,977.59","11,038.58","10,961.48","","0.21%"
"10/16/2020","10,977.59","10,865.92","11,051.76","10,865.92","","1.03%"
"10/15/2020","10,865.92","11,018.22","11,018.22","10,757.90","","-1.38%"
"10/14/2020","11,018.22","11,059.10","11,142.11","11,006.31","","-0.37%"
"10/13/2020","11,059.10","11,217.59","11,257.87","11,028.54","","-1.41%"
"10/12/2020","11,217.59","11,154.77","11,284.97","11,147.66","","0.56%"
"10/09/2020","11,154.77","11,061.09","11,185.61","11,047.99","","0.85%"
"10/08/2020","11,061.09","11,088.21","11,146.50","11,047.01","","-0.24%"
"10/07/2020","11,088.21","11,184.61","11,209.35","11,086.73","","-0.86%"
"10/06/2020","11,184.61","11,253.62","11,270.86","11,143.28","","-0.61%"
