"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2020","2,567.76","2,548.31","2,580.13","2,531.93","","0.76%"
"11/26/2020","2,548.31","2,576.11","2,602.00","2,507.14","","-1.08%"
"11/25/2020","2,576.11","2,619.82","2,673.12","2,554.89","","-1.67%"
"11/24/2020","2,619.82","2,497.53","2,619.82","2,493.04","","4.90%"
"11/23/2020","2,497.53","2,458.64","2,503.26","2,458.36","","1.58%"
"11/20/2020","2,458.64","2,468.66","2,487.03","2,442.96","","-0.41%"
"11/19/2020","2,468.66","2,486.33","2,486.33","2,441.05","","-0.71%"
"11/18/2020","2,486.33","2,441.29","2,495.46","2,428.23","","1.84%"
"11/17/2020","2,441.29","2,481.16","2,485.65","2,403.30","","-1.61%"
"11/16/2020","2,481.16","2,386.88","2,504.07","2,386.88","","3.95%"
"11/13/2020","2,386.88","2,363.91","2,399.74","2,316.06","","0.97%"
"11/12/2020","2,363.91","2,430.42","2,430.42","2,329.82","","-2.74%"
"11/11/2020","2,430.42","2,354.85","2,442.17","2,352.41","","3.21%"
"11/10/2020","2,354.85","2,318.65","2,379.92","2,285.58","","1.56%"
"11/09/2020","2,318.65","2,065.83","2,335.87","2,065.83","","12.24%"
"11/06/2020","2,065.83","2,063.56","2,102.56","2,063.56","","0.11%"
"11/05/2020","2,063.56","2,057.09","2,088.68","2,035.51","","0.31%"
"11/04/2020","2,057.09","2,130.26","2,130.26","2,038.09","","-3.43%"
"11/03/2020","2,130.26","2,033.76","2,136.25","2,033.76","","4.74%"
"11/02/2020","2,033.76","2,007.48","2,035.90","1,986.78","","1.31%"
"10/30/2020","2,007.48","1,994.60","2,015.40","1,976.91","","0.65%"
"10/29/2020","1,994.60","1,979.77","2,017.97","1,968.57","","0.75%"
"10/28/2020","1,979.77","2,041.74","2,041.74","1,941.21","","-3.04%"
"10/27/2020","2,041.74","2,031.76","2,116.67","2,031.76","","0.49%"
"10/26/2020","2,031.76","2,047.91","2,083.41","2,012.62","","-0.79%"
"10/23/2020","2,047.91","1,951.91","2,063.10","1,951.91","","4.92%"
"10/22/2020","1,951.91","1,918.22","1,953.31","1,913.45","","1.76%"
"10/21/2020","1,918.22","1,944.14","1,959.32","1,916.62","","-1.33%"
"10/20/2020","1,944.14","1,940.84","1,957.15","1,916.61","","0.17%"
"10/19/2020","1,940.84","1,919.91","1,947.36","1,910.05","","1.09%"
"10/16/2020","1,919.91","1,881.42","1,922.74","1,865.12","","2.05%"
"10/15/2020","1,881.42","1,879.83","1,886.78","1,842.23","","0.08%"
"10/14/2020","1,879.83","1,913.86","1,922.27","1,877.00","","-1.78%"
"10/13/2020","1,913.86","1,956.14","1,967.77","1,903.33","","-2.16%"
"10/12/2020","1,956.14","1,964.29","1,983.95","1,956.14","","-0.41%"
"10/09/2020","1,964.29","1,983.85","1,994.74","1,963.04","","-0.99%"
"10/08/2020","1,983.85","1,972.16","1,996.05","1,960.27","","0.59%"
"10/07/2020","1,972.16","1,967.00","1,991.84","1,953.90","","0.26%"
"10/06/2020","1,967.00","1,917.18","1,967.00","1,909.84","","2.60%"
"10/05/2020","1,917.18","1,907.98","1,948.10","1,898.51","","0.48%"
"10/02/2020","1,907.98","1,884.91","1,907.98","1,854.18","","1.22%"
"10/01/2020","1,884.91","1,869.84","1,907.51","1,865.35","","0.81%"
"09/30/2020","1,869.84","1,852.29","1,896.80","1,837.83","","0.95%"
"09/29/2020","1,852.29","1,900.64","1,900.64","1,847.60","","-2.54%"
"09/28/2020","1,900.64","1,756.90","1,905.90","1,756.90","","8.18%"
"09/25/2020","1,756.90","1,774.29","1,785.06","1,749.25","","-0.98%"
"09/24/2020","1,774.29","1,789.83","1,810.88","1,757.19","","-0.87%"
"09/23/2020","1,789.83","1,768.31","1,831.67","1,767.44","","1.22%"
"09/22/2020","1,768.31","1,762.43","1,806.04","1,749.28","","0.33%"
"09/21/2020","1,762.43","1,861.87","1,861.87","1,737.94","","-5.34%"
"09/18/2020","1,861.87","1,914.35","1,914.35","1,861.87","","-2.74%"
"09/17/2020","1,914.35","1,952.81","1,952.81","1,895.37","","-1.97%"
"09/16/2020","1,952.81","1,962.58","1,963.10","1,923.41","","-0.50%"
"09/15/2020","1,962.58","1,968.67","1,976.34","1,947.11","","-0.31%"
"09/14/2020","1,968.67","1,961.34","1,979.06","1,951.71","","0.37%"
"09/11/2020","1,961.34","1,984.02","1,985.25","1,957.37","","-1.14%"
"09/10/2020","1,984.02","1,995.09","2,002.45","1,951.31","","-0.55%"
"09/09/2020","1,995.09","1,967.17","1,998.74","1,959.51","","1.42%"
"09/08/2020","1,967.17","1,992.71","2,010.73","1,952.04","","-1.28%"
"09/07/2020","1,992.71","1,976.66","1,997.47","1,958.33","","0.81%"
"09/04/2020","1,976.66","1,958.74","2,003.04","1,955.78","","0.91%"
"09/03/2020","1,958.74","1,967.05","2,015.75","1,955.05","","-0.42%"
"09/02/2020","1,967.05","1,965.39","1,993.43","1,958.79","","0.08%"
"09/01/2020","1,965.39","2,054.87","2,054.87","1,955.39","","-4.35%"
"08/28/2020","2,054.87","2,037.71","2,079.65","2,037.71","","0.84%"
"08/27/2020","2,037.71","2,056.79","2,057.04","2,019.05","","-0.93%"
"08/26/2020","2,056.79","2,057.79","2,068.67","2,043.41","","-0.05%"
"08/25/2020","2,057.79","2,081.41","2,113.43","2,056.62","","-1.13%"
"08/24/2020","2,081.41","2,031.01","2,081.41","2,031.01","","2.48%"
"08/21/2020","2,031.01","2,034.65","2,039.61","2,007.59","","-0.18%"
"08/20/2020","2,034.65","2,080.43","2,080.43","2,027.62","","-2.20%"
"08/19/2020","2,080.43","2,053.71","2,080.43","2,042.77","","1.30%"
"08/18/2020","2,053.71","2,085.40","2,099.53","2,047.94","","-1.52%"
"08/17/2020","2,085.40","2,105.90","2,114.81","2,085.40","","-0.97%"
"08/14/2020","2,105.90","2,113.98","2,117.98","2,060.55","","-0.38%"
"08/13/2020","2,113.98","2,185.00","2,185.00","2,113.98","","-3.25%"
"08/12/2020","2,185.00","2,140.79","2,203.45","2,138.28","","2.07%"
"08/11/2020","2,140.79","2,048.21","2,149.73","2,048.21","","4.52%"
"08/10/2020","2,048.21","2,010.28","2,048.21","2,010.28","","1.89%"
"08/07/2020","2,010.28","2,016.19","2,016.19","1,988.71","","-0.29%"
"08/06/2020","2,016.19","2,053.13","2,053.13","1,985.58","","-1.80%"
"08/05/2020","2,053.13","2,057.42","2,064.32","2,026.50","","-0.21%"
"08/04/2020","2,057.42","2,029.43","2,062.78","2,015.81","","1.38%"
"08/03/2020","2,029.43","2,028.32","2,037.74","1,940.89","","0.05%"
"07/31/2020","2,028.32","2,048.69","2,060.00","2,017.00","","-0.99%"
"07/30/2020","2,048.69","2,154.32","2,154.88","2,026.96","","-4.90%"
"07/29/2020","2,154.32","2,156.00","2,176.48","2,138.79","","-0.08%"
"07/28/2020","2,156.00","2,147.45","2,157.40","2,121.67","","0.40%"
"07/27/2020","2,147.45","2,207.71","2,208.83","2,144.91","","-2.73%"
"07/24/2020","2,207.71","2,234.99","2,234.99","2,207.61","","-1.22%"
"07/23/2020","2,234.99","2,257.87","2,265.50","2,232.80","","-1.01%"
"07/22/2020","2,257.87","2,295.65","2,300.81","2,242.76","","-1.65%"
"07/21/2020","2,295.65","2,264.40","2,338.48","2,264.40","","1.38%"
"07/20/2020","2,264.40","2,286.12","2,286.12","2,245.70","","-0.95%"
"07/17/2020","2,286.12","2,316.12","2,316.19","2,257.76","","-1.30%"
"07/16/2020","2,316.12","2,320.15","2,325.75","2,293.93","","-0.17%"
"07/15/2020","2,320.15","2,304.46","2,330.37","2,261.39","","0.68%"
"07/14/2020","2,304.46","2,303.56","2,315.91","2,268.91","","0.04%"
"07/13/2020","2,303.56","2,280.60","2,321.50","2,277.80","","1.01%"
"07/10/2020","2,280.60","2,234.42","2,282.68","2,220.66","","2.07%"
"07/09/2020","2,234.42","2,292.81","2,292.81","2,233.45","","-2.55%"
"07/08/2020","2,292.81","2,336.97","2,336.97","2,270.48","","-1.89%"
"07/07/2020","2,336.97","2,403.51","2,403.51","2,335.49","","-2.77%"
"07/06/2020","2,403.51","2,299.47","2,420.45","2,299.47","","4.52%"
"07/03/2020","2,299.47","2,341.33","2,349.10","2,279.67","","-1.79%"
"07/02/2020","2,341.33","2,248.91","2,353.07","2,248.91","","4.11%"
